Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range,Normalized Title
Elegies for Angels Punks and Raging Queens,"Russell, Bill",,,,Florida,Orange County Public Schools,2023-2024,elegies for angels punks and raging queens
If I Was Your Girl (MR),"Russo, Meredith",,,,Florida,Orange County Public Schools,2023-2024,if i was your girl
The Dead-Tossed Waves,"Ryan, Carrie",,,,Florida,Orange County Public Schools,2023-2024,the dead-tossed waves
Esperanza Rising,"Ryan, Pam Muñoz",,,,Florida,Orange County Public Schools,2023-2024,esperanza rising
And They Lived...,"Salvatore, Steven",,,,Florida,Orange County Public Schools,2023-2024,and they lived...
Bait,"Sanchez, Alex",,,,Florida,Orange County Public Schools,2023-2024,bait
"Option B: Facing Adversity, Building Resilience, and Finding Joy","Sandberg, Sheryl",,,,Florida,Orange County Public Schools,2023-2024,"option b: facing adversity, building resilience, and finding joy"
The Fool's Run,"Sandford, John",,,,Florida,Orange County Public Schools,2023-2024,the fool's run
"Vampire, Interrupted","Sands, Lynsay",,,,Florida,Orange County Public Schools,2023-2024,"vampire, interrupted"
Push,Sapphire,,,,Florida,Orange County Public Schools,2023-2024,push
Blindness,"Saramago, José",,,,Florida,Orange County Public Schools,2023-2024,blindness
Jesus Land: A Memoir,"Scheeres, Julia",,,,Florida,Orange County Public Schools,2023-2024,jesus land: a memoir
Uses for Boys,"Scheidt, Erica Lorraine",,,,Florida,Orange County Public Schools,2023-2024,uses for boys
The Reader,"Schlink, Bernard",,,"Janeway, Carol Brown",Florida,Orange County Public Schools,2023-2024,the reader
The Beginning of Everything: Everyone Gets a Tragedy,"Schneider, Robyn",,,,Florida,Orange County Public Schools,2023-2024,the beginning of everything: everyone gets a tragedy
Bully: A True Story of High School Revenge,"Schutze, Jim",,,,Florida,Orange County Public Schools,2023-2024,bully: a true story of high school revenge
The Invisible Life of Addie LaRue,"Schwab, V. E.",,,,Florida,Orange County Public Schools,2023-2024,the invisible life of addie larue
The Gift of Forgiveness,"Schwarzenegger Pratt, Katherine",,,,Florida,Orange County Public Schools,2023-2024,the gift of forgiveness
Living Dead Girl,"Scott, Elizabeth",,,,Florida,Orange County Public Schools,2023-2024,living dead girl
Lucky (AS),"Sebold, Alice",,,,Florida,Orange County Public Schools,2023-2024,lucky
The Lovely Bones,"Sebold, Alice",,,,Florida,Orange County Public Schools,2023-2024,the lovely bones
Naked,"Sedaris, David",,,,Florida,Orange County Public Schools,2023-2024,naked
Peony in Love,"See, Lisa",,,,Florida,Orange County Public Schools,2023-2024,peony in love
"Writing My Wrongs: Life, Death, and Reception in an American Prison","Senghor, Shaka",,,,Florida,Orange County Public Schools,2023-2024,"writing my wrongs: life, death, and reception in an american prison"
Equus,"Shaffer, Peter",,,,Florida,Orange County Public Schools,2023-2024,equus
Skin and Bones,"Shahan, Sherry",,,,Florida,Orange County Public Schools,2023-2024,skin and bones
Demon Apocalypse,"Shan, Darren",,,,Florida,Orange County Public Schools,2023-2024,demon apocalypse
Forbidden Knowledge: From Prometheus to Pornography,"Shattuck, Roger",,,,Florida,Orange County Public Schools,2023-2024,forbidden knowledge: from prometheus to pornography
Tweak: Growing Up on Methamphetamines,"Sheff, Nic",,,,Florida,Orange County Public Schools,2023-2024,tweak: growing up on methamphetamines
The Stone Diaries,"Shields, Carol",,,,Florida,Orange County Public Schools,2023-2024,the stone diaries
Sea Glass,"Shreve, Anita",,,,Florida,Orange County Public Schools,2023-2024,sea glass
Alichino,"Shurei, Kouyu",,,,Florida,Orange County Public Schools,2023-2024,alichino
The Food Chain (Play),"Silver, Nicky",,,,Florida,Orange County Public Schools,2023-2024,the food chain
Wilder,"Simonet, Andrew",,,,Florida,Orange County Public Schools,2023-2024,wilder
The Straight Girl's Guide to Sleeping with Chicks,"Sincero, Jen",,,,Florida,Orange County Public Schools,2023-2024,the straight girl's guide to sleeping with chicks
The Silence and the Roar,"Sirees, Nihad",,,"Weiss, Max",Florida,Orange County Public Schools,2023-2024,the silence and the roar
The Primal Blueprint,"Sisson, Mark",,,,Florida,Orange County Public Schools,2023-2024,the primal blueprint
Prep,"Sittenfeld, Curtis",,,,Florida,Orange County Public Schools,2023-2024,prep
"You Think It, I'll Say It: Stories","Sittenfeld, Curtis",,,,Florida,Orange County Public Schools,2023-2024,"you think it, i'll say it: stories"
Stay In Line,"Slaterguess, Teddy","Fiammenghi, Gioia: Burns, Marilyn",,,Florida,Orange County Public Schools,2023-2024,stay in line
A Thousand Acres,"Smiley, Jane",,,,Florida,Orange County Public Schools,2023-2024,a thousand acres
The Way I Used To Be,"Smith, Amber",,,,Florida,Orange County Public Schools,2023-2024,the way i used to be
A Tree Grows in Brooklyn,"Smith, Betty",,,,Florida,Orange County Public Schools,2023-2024,a tree grows in brooklyn
Joy in the Morning,"Smith, Betty",,,,Florida,Orange County Public Schools,2023-2024,joy in the morning
The Geography of Girlhood,"Smith, Kirsten",,,,Florida,Orange County Public Schools,2023-2024,the geography of girlhood
Betwixt,"Smith, Tara Bray",,,,Florida,Orange County Public Schools,2023-2024,betwixt
Anatomy of a Boyfriend,"Snadowsky, Daria",,,,Florida,Orange County Public Schools,2023-2024,anatomy of a boyfriend
Sadar's Keep,"Snyder, Midori",,,,Florida,Orange County Public Schools,2023-2024,sadar's keep
No Visible Bruises: What We Don't Know About Domestic Violence Can Kill Us,"Snyder, Rachel Louise",,,,Florida,Orange County Public Schools,2023-2024,no visible bruises: what we don't know about domestic violence can kill us
MARS,"Soryo, Fuyumi","Kubo, Shirley",,,Florida,Orange County Public Schools,2023-2024,mars
Summer on Wheels: A Road Trip Like No Other,"Soto, Gary",,,,Florida,Orange County Public Schools,2023-2024,summer on wheels: a road trip like no other
The Coldest Winter Ever,"Souljah, Sister",,,,Florida,Orange County Public Schools,2023-2024,the coldest winter ever
The Prime of Miss Jean Brodie,"Spark, Muriel",,,,Florida,Orange County Public Schools,2023-2024,the prime of miss jean brodie
"It Happened to Nancy: By An Anonymous Teenager, A True Story from Her Diary","Sparks, Beatrice",,,,Florida,Orange County Public Schools,2023-2024,"it happened to nancy: by an anonymous teenager, a true story from her diary"
At First Sight,"Sparks, Nicholas",,,,Florida,Orange County Public Schools,2023-2024,at first sight
Message in a Bottle,"Sparks, Nicholas",,,,Florida,Orange County Public Schools,2023-2024,message in a bottle
Nights in Rodanthe,"Sparks, Nicholas",,,,Florida,Orange County Public Schools,2023-2024,nights in rodanthe
The Guardian,"Sparks, Nicholas",,,,Florida,Orange County Public Schools,2023-2024,the guardian
The Rescue,"Sparks, Nicholas",,,,Florida,Orange County Public Schools,2023-2024,the rescue
The Wedding,"Sparks, Nicholas",,,,Florida,Orange County Public Schools,2023-2024,the wedding
Small Town Girl,"Spencer, Lavyrle",,,,Florida,Orange County Public Schools,2023-2024,small town girl
Eggs,"Spinelli, Jerry",,,,Florida,Orange County Public Schools,2023-2024,eggs
King of Battle and Blood,"St. Clair, Scarlett",,,,Florida,Orange County Public Schools,2023-2024,king of battle and blood
Star (French Edition),"Steel, Danielle",,,,Florida,Orange County Public Schools,2023-2024,star
The Gift (DS),"Steel, Danielle",,,,Florida,Orange County Public Schools,2023-2024,the gift
East of Eden,"Steinbeck, John",,,,Florida,Orange County Public Schools,2023-2024,east of eden
Still Missing,"Stevens, Chevy",,,,Florida,Orange County Public Schools,2023-2024,still missing
Earth (the book) A Visitors Guide to the Human Race,"Stewart, Jon",,,,Florida,Orange County Public Schools,2023-2024,earth a visitors guide to the human race
Every Last Word,"Stone, Tamara Ireland",,,,Florida,Orange County Public Schools,2023-2024,every last word
Marcelo in the Real World,"Stork, Francisco X.",,,,Florida,Orange County Public Schools,2023-2024,marcelo in the real world
Wild: From Lost to Found on the Pacific Coast,"Strayed, Cheryl",,,,Florida,Orange County Public Schools,2023-2024,wild: from lost to found on the pacific coast
Until the Twelfth of Never: Should Betty Broderick Ever Be Free?,"Stumbo, Bella",,,,Florida,Orange County Public Schools,2023-2024,until the twelfth of never: should betty broderick ever be free?
Sophie's Choice,"Styron, William",,,,Florida,Orange County Public Schools,2023-2024,sophie's choice
"We Should Hang Out Sometime: Embarrassingly, A True Story","Sundquist, Josh",,,,Florida,Orange County Public Schools,2023-2024,"we should hang out sometime: embarrassingly, a true story"
The Kitchen God's Wife,"Tan, Amy",,,,Florida,Orange County Public Schools,2023-2024,the kitchen god's wife
The Valley of Amazement,"Tan, Amy",,,,Florida,Orange County Public Schools,2023-2024,the valley of amazement
"American Colonies: The Settling of North America, Vo1. 1","Taylor, Alan",,,,Florida,Orange County Public Schools,2023-2024,"american colonies: the settling of north america, vo1. 1"
Just Friends,"Taylor, Billy",,,,Florida,Orange County Public Schools,2023-2024,just friends
The Spectacular Now,"Tharp, Tim",,,,Florida,Orange County Public Schools,2023-2024,the spectacular now
Concrete Rose,"Thomas, Angie",,,,Florida,Orange County Public Schools,2023-2024,concrete rose
The Loners,"Thomas, Lex",,,,Florida,Orange County Public Schools,2023-2024,the loners
Picking Cotton: Our Memoir of Injustice and Redemption,"Thompson-Cannino, Jennifer","Cotton, Ronald; Torneo, Erin",,,Florida,Orange County Public Schools,2023-2024,picking cotton: our memoir of injustice and redemption
Blankets,"Thompson, Craig",,,,Florida,Orange County Public Schools,2023-2024,blankets
First Time,"Tilly, Meg",,,,Florida,Orange County Public Schools,2023-2024,first time
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In","Tran, Phuc",,,,Florida,Orange County Public Schools,2023-2024,"sigh, gone: a misfit's memoir of great books, punk rock, and the fight to fit in"
Milk Glass Moon,"Trigiani, Adriana",,,,Florida,Orange County Public Schools,2023-2024,milk glass moon
Stuck in Neutral,"Trueman, Terry",,,,Florida,Orange County Public Schools,2023-2024,stuck in neutral
The RattleRat,"Van de Wetering, Janwillem",,,,Florida,Orange County Public Schools,2023-2024,the rattlerat
Red Thunder,"Varley, John",,,,Florida,Orange County Public Schools,2023-2024,red thunder
Sia Martinez and the Moonlit Beginning of Everything,"Vasquez Gilliland, Raquel",,,,Florida,Orange County Public Schools,2023-2024,sia martinez and the moonlit beginning of everything
Y: The Last Man,"Vaughan, Brian K.",,"Guerra, Pia; Marzan Jr., Jose",,Florida,Orange County Public Schools,2023-2024,y: the last man
When We Make It: A Nuyorican Novel,"Velasquez, Elisabet",,,,Florida,Orange County Public Schools,2023-2024,when we make it: a nuyorican novel
The Covenant of Water,"Verghese, Abraham",,,,Florida,Orange County Public Schools,2023-2024,the covenant of water
Shojo Beat,Viz Media,,,,Florida,Orange County Public Schools,2023-2024,shojo beat
It's Kind of a Funny Story,"Vizzini, Ned",,,,Florida,Orange County Public Schools,2023-2024,it's kind of a funny story
Dicey's Song,"Voigt, Cynthia",,,,Florida,Orange County Public Schools,2023-2024,dicey's song
All I Want is Everything,"Von Ziegesar, Cecily",,,,Florida,Orange County Public Schools,2023-2024,all i want is everything
Don't You Forget about Me,"Von Ziegesar, Cecily",,,,Florida,Orange County Public Schools,2023-2024,don't you forget about me
It Had To Be You,"Von Ziegesar, Cecily",,,,Florida,Orange County Public Schools,2023-2024,it had to be you
Tempted (CVZ),"Von Ziegesar, Cecily",,,,Florida,Orange County Public Schools,2023-2024,tempted
You Know You Love Me,"von Ziegesar, Cecily",,,,Florida,Orange County Public Schools,2023-2024,you know you love me
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,Florida,Orange County Public Schools,2023-2024,slaughterhouse-five
Slaughterhouse-Five: The Graphic Novel,"Vonnegut Jr., Kurt","North, Ryan","Monteys, Albert",,Florida,Orange County Public Schools,2023-2024,slaughterhouse-five: the graphic novel
The Color Purple,"Walker, Alice",,,,Florida,Orange County Public Schools,2023-2024,the color purple
"Black, White and Jewish: Autobiography of a Shifting Self","Walker, Rebecca",,,,Florida,Orange County Public Schools,2023-2024,"black, white and jewish: autobiography of a shifting self"
We All Looked Up,"Wallach, Tommy",,,,Florida,Orange County Public Schools,2023-2024,we all looked up
A Thousand Country Roads: An Epilogue to The Bridges of Madison County,"Waller, Robert James",,,,Florida,Orange County Public Schools,2023-2024,a thousand country roads: an epilogue to the bridges of madison county
The Bridges of Madison County,"Waller, Robert James",,,,Florida,Orange County Public Schools,2023-2024,the bridges of madison county
The Glass Castle,"Walls, Jeannette",,,,Florida,Orange County Public Schools,2023-2024,the glass castle
Stargazing,"Wang, Jen",,,,Florida,Orange County Public Schools,2023-2024,stargazing
Salvage the Bones,"Ward, Jesmyn",,,,Florida,Orange County Public Schools,2023-2024,salvage the bones
Numb8rs,"Ward, Rachel",,,,Florida,Orange County Public Schools,2023-2024,numb8rs
Something Worth Saving,"Ward, Sandi",,,,Florida,Orange County Public Schools,2023-2024,something worth saving
Montana 1948,"Watson, Larry",,,,Florida,Orange County Public Schools,2023-2024,montana 1948
The Graduate,"Webb, Charles",,,,Florida,Orange County Public Schools,2023-2024,the graduate
Girl Boy Etc,"Weinreb, Michael",,,,Florida,Orange County Public Schools,2023-2024,girl boy etc
Chasing Harry Winston,"Weisberger, Lauren",,,,Florida,Orange County Public Schools,2023-2024,chasing harry winston
Little Altars Everywhere,"Wells, Rebecca",,,,Florida,Orange County Public Schools,2023-2024,little altars everywhere
A Certain Slant of Light,"Whitcomb, Laura",,,,Florida,Orange County Public Schools,2023-2024,a certain slant of light
Ma Mere L'oye,"Winchester, Linda",,,,Florida,Orange County Public Schools,2023-2024,ma mere l'oye
"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of the Oxford English Dictionary","Winchester, Simon",,,,Florida,Orange County Public Schools,2023-2024,"the professor and the madman: a tale of murder, insanity, and the making of the oxford english dictionary"
Happiness Sold Separately,"Winston, Lolly",,,,Florida,Orange County Public Schools,2023-2024,happiness sold separately
A Man in Full,"Wolfe, Tom",,,,Florida,Orange County Public Schools,2023-2024,a man in full
The Interestings,"Wolitzer, Meg",,,,Florida,Orange County Public Schools,2023-2024,the interestings
Turkish Delight,"Wolkers, Jan",,,"Garrett, Sam",Florida,Orange County Public Schools,2023-2024,turkish delight
Brighter than Gold,"Wright, Cynthia",,,,Florida,Orange County Public Schools,2023-2024,brighter than gold
Native Son,"Wright, Richard",,,,Florida,Orange County Public Schools,2023-2024,native son
Blu's Hanging,"Yamanaka, Lois-Ann",,,,Florida,Orange County Public Schools,2023-2024,blu's hanging
Revolutionary Road,"Yates, Richard",,,,Florida,Orange County Public Schools,2023-2024,revolutionary road
Armageddon Summer,"Yolen, Jane","Coville, Bruce",,,Florida,Orange County Public Schools,2023-2024,armageddon summer
"Everything, Everything","Yoon, Nicola",,,,Florida,Orange County Public Schools,2023-2024,"everything, everything"
The Sun Is Also a Star,"Yoon, Nicola",,,,Florida,Orange County Public Schools,2023-2024,the sun is also a star
Nowhere Man,"York, Rebecca",,,,Florida,Orange County Public Schools,2023-2024,nowhere man
Nothing But Your Skin,"Ytak, Cathy","Abier, Gilles",,,Florida,Orange County Public Schools,2023-2024,nothing but your skin
The Letter Q: Queer Writers' Notes to Their Younger Selves,"Moon, Sarah",,,,Florida,Pasco County Schools,2023-2024,the letter q: queer writers' notes to their younger selves
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Florida,Pinellas County Schools,2023-2024,me and earl and the dying girl
The Haters,"Andrews, Jesse",,,,Florida,Pinellas County Schools,2023-2024,the haters
Damsel,"Arnold, Elana K.",,,,Florida,Pinellas County Schools,2023-2024,damsel
Red Hood,"Arnold, Elana K.",,,,Florida,Pinellas County Schools,2023-2024,red hood
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,Florida,Pinellas County Schools,2023-2024,the perks of being a wallflower
Water for Elephants,"Gruen, Sara",,,,Florida,Pinellas County Schools,2023-2024,water for elephants
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,Florida,Pinellas County Schools,2023-2024,the freedom writers diary
Burned (EH),"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,burned
Crank,"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,crank
Fallout,"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,fallout
Glass,"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,glass
Identical,"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,identical
Impulse,"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,impulse
People Kill People,"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,people kill people
Rumble,"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,rumble
Smoke,"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,smoke
The You I've Never Known,"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,the you i've never known
Tilt (EH),"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,tilt
Traffick,"Hopkins, Ellen",,,,Florida,Pinellas County Schools,2023-2024,traffick
When Good Kids Kill,"Kelleher, Michael D.",,,,Florida,Pinellas County Schools,2023-2024,when good kids kill
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,Florida,Pinellas County Schools,2023-2024,beyond magenta: transgender teens speak out
"Assassination Classroom (Series, Title Not Specified)","Matsui, Yūsei",,,,Florida,Pinellas County Schools,2023-2024,assassination classroom
Shine,"Myracle, Lauren",,,,Florida,Pinellas County Schools,2023-2024,shine
Invisible Monsters Remix,"Palahniuk, Chuck",,,,Florida,Pinellas County Schools,2023-2024,invisible monsters remix
Rant: The Oral Biography of Buster Casey,"Palahniuk, Chuck",,,,Florida,Pinellas County Schools,2023-2024,rant: the oral biography of buster casey
grl2grl,"Peters, Julie Anne",,,,Florida,Pinellas County Schools,2023-2024,grl2grl
Lucky (AS),"Sebold, Alice",,,,Florida,Pinellas County Schools,2023-2024,lucky
The Lovely Bones,"Sebold, Alice",,,,Florida,Pinellas County Schools,2023-2024,the lovely bones
More Happy Than Not,"Silvera, Adam",,,,Florida,Pinellas County Schools,2023-2024,more happy than not
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,Florida,Polk County Public Schools,2023-2024,half of a yellow sun
The Haters,"Andrews, Jesse",,,,Florida,Polk County Public Schools,2023-2024,the haters
Storm and Fury,"Armentrout, Jennifer L.",,,,Florida,Polk County Public Schools,2023-2024,storm and fury
Damsel,"Arnold, Elana K.",,,,Florida,Polk County Public Schools,2023-2024,damsel
What Girls Are Made Of,"Arnold, Elana K.",,,,Florida,Polk County Public Schools,2023-2024,what girls are made of
The Handmaid's Tale,"Atwood, Margaret",,,,Florida,Polk County Public Schools,2023-2024,the handmaid's tale
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Florida,Polk County Public Schools,2023-2024,the handmaid's tale: the graphic novel
Forever...,"Blume, Judy",,,,Florida,Polk County Public Schools,2023-2024,forever...
Georgia Peaches and Other Forbidden Fruit,"Brown, Jaye Robin",,,,Florida,Polk County Public Schools,2023-2024,georgia peaches and other forbidden fruit
Clockwork Orange,"Burgess, Anthony",,,,Florida,Polk County Public Schools,2023-2024,clockwork orange
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,Florida,Polk County Public Schools,2023-2024,this is kind of an epic love story
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,Florida,Polk County Public Schools,2023-2024,the perks of being a wallflower
The Carnival at Bray,"Foley, Jessie Ann",,,,Florida,Polk County Public Schools,2023-2024,the carnival at bray
Life is Funny,"Frank, E. R.",,,,Florida,Polk County Public Schools,2023-2024,life is funny
Grit,"French, Gillian",,,,Florida,Polk County Public Schools,2023-2024,grit
The Handsome Girl and Her Beautiful Boy,"Gottfred, B. T.",,,,Florida,Polk County Public Schools,2023-2024,the handsome girl and her beautiful boy
Looking for Alaska,"Green, John",,,,Florida,Polk County Public Schools,2023-2024,looking for alaska
Water for Elephants,"Gruen, Sara",,,,Florida,Polk County Public Schools,2023-2024,water for elephants
Homegoing,"Gyasi, Yaa",,,,Florida,Polk County Public Schools,2023-2024,homegoing
Glass,"Hopkins, Ellen",,,,Florida,Polk County Public Schools,2023-2024,glass
People Kill People,"Hopkins, Ellen",,,,Florida,Polk County Public Schools,2023-2024,people kill people
Tilt (EH),"Hopkins, Ellen",,,,Florida,Polk County Public Schools,2023-2024,tilt
All Boys Aren't Blue,"Johnson, George M.",,,,Florida,Polk County Public Schools,2023-2024,all boys aren't blue
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",,,,Florida,Polk County Public Schools,2023-2024,the duff: designated ugly fat friend
Kiss and Tell,"Khorram, Adib",,,,Florida,Polk County Public Schools,2023-2024,kiss and tell
Last Night at the Telegraph Club,"Lo, Malinda",,,,Florida,Polk County Public Schools,2023-2024,last night at the telegraph club
Boy Toy,"Lyga, Barry",,,,Florida,Polk County Public Schools,2023-2024,boy toy
A ​Court of Silver Flames,"Maas, Sarah J.",,,,Florida,Polk County Public Schools,2023-2024,a ​court of silver flames
A Court of Thorns and Roses,"Maas, Sarah J.",,,,Florida,Polk County Public Schools,2023-2024,a court of thorns and roses
A Court of Wings and Ruin,"Maas, Sarah J.",,,,Florida,Polk County Public Schools,2023-2024,a court of wings and ruin
Empire of Storms,"Maas, Sarah J.",,,,Florida,Polk County Public Schools,2023-2024,empire of storms
House of Earth and Blood,"Maas, Sarah J.",,,,Florida,Polk County Public Schools,2023-2024,house of earth and blood
Kingdom of Ash,"Maas, Sarah J.",,,,Florida,Polk County Public Schools,2023-2024,kingdom of ash
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,,,Florida,Polk County Public Schools,2023-2024,wicked: the life and times of the wicked witch of the west
A Clash of Kings,"Martin, George R. R.",,,,Florida,Polk County Public Schools,2023-2024,a clash of kings
Man o' War,"McCarthy, Cory",,,,Florida,Polk County Public Schools,2023-2024,man o' war
Sold,"McCormick, Patricia",,,,Florida,Polk County Public Schools,2023-2024,sold
"Red, White, and Royal Blue","McQuiston, Casey",,,,Florida,Polk County Public Schools,2023-2024,"red, white, and royal blue"
"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)","Moen, Erika","Nolan, Matthew",,,Florida,Polk County Public Schools,2023-2024,"let's talk about it: the teen's guide to sex, relationships, and being a human"
Ramona Blue,"Murphy, Julie",,,,Florida,Polk County Public Schools,2023-2024,ramona blue
Shine,"Myracle, Lauren",,,,Florida,Polk County Public Schools,2023-2024,shine
Like a Love Story,"Nazemian, Abdi",,,,Florida,Polk County Public Schools,2023-2024,like a love story
Adjustment Day,"Palahniuk, Chuck",,,,Florida,Polk County Public Schools,2023-2024,adjustment day
Out of Darkness,"Pérez, Ashley Hope",,,,Florida,Polk County Public Schools,2023-2024,out of darkness
Jack of Hearts (and other parts),"Rosen, L. C.",,,,Florida,Polk County Public Schools,2023-2024,jack of hearts
And They Lived...,"Salvatore, Steven",,,,Florida,Polk County Public Schools,2023-2024,and they lived...
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,Florida,Polk County Public Schools,2023-2024,slaughterhouse-five
Slaughterhouse-Five: The Graphic Novel,"Vonnegut Jr., Kurt","North, Ryan","Monteys, Albert",,Florida,Polk County Public Schools,2023-2024,slaughterhouse-five: the graphic novel
The Poet X,"Acevedo, Elizabeth",,,,Florida,Santa Rosa County Schools,2023-2024,the poet x
Call Me By Your Name,"Aciman, André",,,,Florida,Santa Rosa County Schools,2023-2024,call me by your name
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Florida,Santa Rosa County Schools,2023-2024,the absolutely true diary of a part-time indian
Speak,"Anderson, Laurie Halse",,,,Florida,Santa Rosa County Schools,2023-2024,speak
Opposition,"Armentrout, Jennifer L.",,,,Florida,Santa Rosa County Schools,2023-2024,opposition
Rage and Ruin,"Armentrout, Jennifer L.",,,,Florida,Santa Rosa County Schools,2023-2024,rage and ruin
Infandous,"Arnold, Elana K.",,,,Florida,Santa Rosa County Schools,2023-2024,infandous
Red Hood,"Arnold, Elana K.",,,,Florida,Santa Rosa County Schools,2023-2024,red hood
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Florida,Santa Rosa County Schools,2023-2024,fun home: a family tragicomic
"Then Again, Maybe I Won't","Blume, Judy",,,,Florida,Santa Rosa County Schools,2023-2024,"then again, maybe i won't"
Beauty Queens,"Bray, Libba",,,,Florida,Santa Rosa County Schools,2023-2024,beauty queens
Cursor's Fury,"Butcher, Jim",,,,Florida,Santa Rosa County Schools,2023-2024,cursor's fury
Naomi and Ely's No Kiss List,"Cohn, Rachel","Levithan, David",,,Florida,Santa Rosa County Schools,2023-2024,naomi and ely's no kiss list
The Kingdom of Little Wounds,"Cokal, Susann",,,,Florida,Santa Rosa County Schools,2023-2024,the kingdom of little wounds
Fade (RC),"Cormier, Robert",,,,Florida,Santa Rosa County Schools,2023-2024,fade
Girl Parts,"Cusick, John M.",,,,Florida,Santa Rosa County Schools,2023-2024,girl parts
A Yellow Raft in Blue Water,"Dorris, Michael",,,,Florida,Santa Rosa County Schools,2023-2024,a yellow raft in blue water
The Last True Poets of the Sea,"Drake, Julia",,,,Florida,Santa Rosa County Schools,2023-2024,the last true poets of the sea
The Circle,"Eggers, Dave",,,,Florida,Santa Rosa County Schools,2023-2024,the circle
Chain Reaction,"Elkeles, Simone",,,,Florida,Santa Rosa County Schools,2023-2024,chain reaction
Perfect Chemistry,"Elkeles, Simone",,,,Florida,Santa Rosa County Schools,2023-2024,perfect chemistry
American Psycho,"Ellis, Bret Easton",,,,Florida,Santa Rosa County Schools,2023-2024,american psycho
Rana Joon and the One and Only Now,"Etaat, Shideh",,,,Florida,Santa Rosa County Schools,2023-2024,rana joon and the one and only now
Dark Places,"Flynn, Gillian",,,,Florida,Santa Rosa County Schools,2023-2024,dark places
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,Florida,Santa Rosa County Schools,2023-2024,extremely loud and incredibly close
The Guest List,"Foley, Lucy",,,,Florida,Santa Rosa County Schools,2023-2024,the guest list
The Day of the Jackal,"Forsyth, Frederick",,,,Florida,Santa Rosa County Schools,2023-2024,the day of the jackal
Friday I'm in Love,"Garrett, Camryn",,,,Florida,Santa Rosa County Schools,2023-2024,friday i'm in love
After the Game,"Glines, Abbi",,,,Florida,Santa Rosa County Schools,2023-2024,after the game
Wizard's First Rule,"Goodkind, Terry",,,,Florida,Santa Rosa County Schools,2023-2024,wizard's first rule
Water for Elephants,"Gruen, Sara",,,,Florida,Santa Rosa County Schools,2023-2024,water for elephants
Friends Forever,"Hale, Shannon",,"Pham, LeUyen",,Florida,Santa Rosa County Schools,2023-2024,friends forever
Club Dead,"Harris, Charlaine",,,,Florida,Santa Rosa County Schools,2023-2024,club dead
Dead to the World,"Harris, Charlaine",,,,Florida,Santa Rosa County Schools,2023-2024,dead to the world
Dead Until Dark,"Harris, Charlaine",,,,Florida,Santa Rosa County Schools,2023-2024,dead until dark
Definitely Dead,"Harris, Charlaine",,,,Florida,Santa Rosa County Schools,2023-2024,definitely dead
Living Dead in Dallas,"Harris, Charlaine",,,,Florida,Santa Rosa County Schools,2023-2024,living dead in dallas
The Love Hypothesis,"Hazelwood, Ali",,,,Florida,Santa Rosa County Schools,2023-2024,the love hypothesis
All Your Perfects,"Hoover, Colleen",,,,Florida,Santa Rosa County Schools,2023-2024,all your perfects
Layla,"Hoover, Colleen",,,,Florida,Santa Rosa County Schools,2023-2024,layla
November 9,"Hoover, Colleen",,,,Florida,Santa Rosa County Schools,2023-2024,november 9
Ugly Love,"Hoover, Colleen",,,,Florida,Santa Rosa County Schools,2023-2024,ugly love
Burned (EH),"Hopkins, Ellen",,,,Florida,Santa Rosa County Schools,2023-2024,burned
Fallout,"Hopkins, Ellen",,,,Florida,Santa Rosa County Schools,2023-2024,fallout
