Title,Author,sex or gender,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range
The Handmaid's Tale,Margaret Atwood,female,,,,Florida,School District of Manatee County,2023-2024
Fun Home,Alison Bechdel,female,,,,Florida,School District of Manatee County,2023-2024
Forever...,Judy Blume,female,,,,Florida,School District of Manatee County,2023-2024
This Is Kind of an Epic Love Story,Kacen Callender,demiboy,,,,Florida,School District of Manatee County,2023-2024
,,trans man,,,,,,
Foul is Fair,"Capin, Hannah",,,,,Florida,School District of Manatee County,2023-2024
Chosen,P. C. Cast,female,"Cast, Kristin",,,Florida,School District of Manatee County,2023-2024
The Perks of Being a Wallflower,Stephen Chbosky,male,,,,Florida,School District of Manatee County,2023-2024
A Stolen Life,Jaycee Lee Dugard,female,,,,Florida,School District of Manatee County,2023-2024
The Carnival at Bray,Jessie Ann Foley,female,,,,Florida,School District of Manatee County,2023-2024
Dime,E.R. Frank,female,,,,Florida,School District of Manatee County,2023-2024
Life is Funny,E.R. Frank,female,,,,Florida,School District of Manatee County,2023-2024
Collected Poems 1947-1980,"Ginsberg, Allen",,,,,Florida,School District of Manatee County,2023-2024
Forever for a Year,"Gottfred, B. T.",,,,,Florida,School District of Manatee County,2023-2024
The Handsome Girl and Her Beautiful Boy,"Gottfred, B. T.",,,,,Florida,School District of Manatee County,2023-2024
The Nerdy and the Dirty,"Gottfred, B. T.",,,,,Florida,School District of Manatee County,2023-2024
Looking for Alaska,John Green,male,,,,Florida,School District of Manatee County,2023-2024
Lighter than My Shadow,"Green, Katie",,,,,Florida,School District of Manatee County,2023-2024
Water for Elephants,Sara Gruen,female,,,,Florida,School District of Manatee County,2023-2024
The Freedom Writers Diary,Erin Gruwell,female,The Freedom Writers,,,Florida,School District of Manatee County,2023-2024
Homegoing,Yaa Gyasi,female,,,,Florida,School District of Manatee County,2023-2024
Burned (EH),Ellen Hopkins,female,,,,Florida,School District of Manatee County,2023-2024
Fallout,Ellen Hopkins,female,,,,Florida,School District of Manatee County,2023-2024
Identical,Ellen Hopkins,female,,,,Florida,School District of Manatee County,2023-2024
People Kill People,Ellen Hopkins,female,,,,Florida,School District of Manatee County,2023-2024
Tilt (EH),Ellen Hopkins,female,,,,Florida,School District of Manatee County,2023-2024
Traffick,Ellen Hopkins,female,,,,Florida,School District of Manatee County,2023-2024
I Never,Laura Hopper,female,,,,Florida,School District of Manatee County,2023-2024
The Kite Runner,Khaled Hosseini,male,,,,Florida,School District of Manatee County,2023-2024
All Boys Aren't Blue,George M. Johnson,non-binary,,,,Florida,School District of Manatee County,2023-2024
Milk and Honey,Rupi Kaur,female,,,,Florida,School District of Manatee County,2023-2024
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Florida,School District of Manatee County,2023-2024
Girl in Translation,Jean Kwok,female,,,,Florida,School District of Manatee County,2023-2024
Last Night at the Telegraph Club,Malinda Lo,female,,,,Florida,School District of Manatee County,2023-2024
Boy Toy,Barry Lyga,male,,,,Florida,School District of Manatee County,2023-2024
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Florida,School District of Manatee County,2023-2024
A Court of Silver Flames,Sarah J. Maas,female,,,,Florida,School District of Manatee County,2023-2024
Empire of Storms,Sarah J. Maas,female,,,,Florida,School District of Manatee County,2023-2024
Kingdom of Ash,Sarah J. Maas,female,,,,Florida,School District of Manatee County,2023-2024
Guyaholic,Carolyn Mackler,female,,,,Florida,School District of Manatee County,2023-2024
Wicked,Gregory Maguire,male,,,,Florida,School District of Manatee County,2023-2024
The Truth About Alice: A Novel,Jennifer Mathieu,female,,,,Florida,School District of Manatee County,2023-2024
Man o' War,Cory McCarthy,female,,,,Florida,School District of Manatee County,2023-2024
Beloved,Toni Morrison,female,,,,Florida,School District of Manatee County,2023-2024
The Bluest Eye,Toni Morrison,female,,,,Florida,School District of Manatee County,2023-2024
Kissing Kate,Lauren Myracle,female,,,,Florida,School District of Manatee County,2023-2024
Shine,Lauren Myracle,female,,,,Florida,School District of Manatee County,2023-2024
The Infinite Moment of Us,Lauren Myracle,female,,,,Florida,School District of Manatee County,2023-2024
Like a Love Story,Abdi Nazemian,male,,,,Florida,School District of Manatee County,2023-2024
Lullaby,Chuck Palahniuk,male,,,,Florida,School District of Manatee County,2023-2024
Out of Darkness,Ashley Hope Pérez,female,,,,Florida,School District of Manatee County,2023-2024
Juliet Takes a Breath,Gabby Rivera,female,,,,Florida,School District of Manatee County,2023-2024
Juliet Takes a Breath: The Graphic Novel,Gabby Rivera,female,,"Moscote, Celia",,Florida,School District of Manatee County,2023-2024
Normal People,Sally Rooney,female,,,,Florida,School District of Manatee County,2023-2024
Eleanor and Park,Rainbow Rowell,female,,,,Florida,School District of Manatee County,2023-2024
Jesus Land: A Memoir,Julia Scheeres,female,,,,Florida,School District of Manatee County,2023-2024
Lucky (AS),Alice Sebold,female,,,,Florida,School District of Manatee County,2023-2024
The Almost Moon,Alice Sebold,female,,,,Florida,School District of Manatee County,2023-2024
Drama: A Graphic Novel,Raina Telgemeier,female,,,,Florida,School District of Manatee County,2023-2024
Concrete Rose,Angie Thomas,female,,,,Florida,School District of Manatee County,2023-2024
Blankets,"Thompson, Craig",,,,,Florida,School District of Manatee County,2023-2024
Princess on the Brink,Meg Cabot,female,,,,Florida,School District of Palm Beach County,2023-2024
Ace of Spades,Faridah Àbíké-Íyímídé,female,,,,Florida,Seminole County Public Schools,2023-2024
The Poet X,Elizabeth Acevedo,female,,,,Florida,Seminole County Public Schools,2023-2024
Leah on the Offbeat,Becky Albertalli,female,,,,Florida,Seminole County Public Schools,2023-2024
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,male,,"Forney, Ellen",,Florida,Seminole County Public Schools,2023-2024
Zahra’s Paradise,Amir,,,Khalil,,Florida,Seminole County Public Schools,2023-2024
Speak,Laurie Halse Anderson,female,,,,Florida,Seminole County Public Schools,2023-2024
Speak: The Graphic Novel,Laurie Halse Anderson,female,,"Carroll, Emily",,Florida,Seminole County Public Schools,2023-2024
Me and Earl and the Dying Girl,Jesse Andrews,male,,,,Florida,Seminole County Public Schools,2023-2024
The Haters,Jesse Andrews,male,,,,Florida,Seminole County Public Schools,2023-2024
Flowers in the Attic,V. C. Andrews,female,,,,Florida,Seminole County Public Schools,2023-2024
If There's No Tomorrow,Jennifer Armentrout,female,,,,Florida,Seminole County Public Schools,2023-2024
Damsel,Elana Arnold,female,,,,Florida,Seminole County Public Schools,2023-2024
Red Hood,Elana Arnold,female,,,,Florida,Seminole County Public Schools,2023-2024
Thirteen Reasons Why,Jay Asher,male,,,,Florida,Seminole County Public Schools,2023-2024
Alt Ed,"Atkins, Catherine",,,,,Florida,Seminole County Public Schools,2023-2024
The Handmaid's Tale,Margaret Atwood,female,,,,Florida,Seminole County Public Schools,2023-2024
The Handmaid's Tale: The Graphic Novel,Margaret Atwood,female,,"Nault, Renee",,Florida,Seminole County Public Schools,2023-2024
The Testaments,Margaret Atwood,female,,,,Florida,Seminole County Public Schools,2023-2024
Boy2Girl,Terence Blacker,male,,,,Florida,Seminole County Public Schools,2023-2024
Forever...,Judy Blume,female,,,,Florida,Seminole County Public Schools,2023-2024
Beauty Queens,Libba Bray,female,,,,Florida,Seminole County Public Schools,2023-2024
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Echo Brown,female,,,,Florida,Seminole County Public Schools,2023-2024
Ready or Not,Meg Cabot,female,,,,Florida,Seminole County Public Schools,2023-2024
Graceling,Kristin Cashore,female,,,,Florida,Seminole County Public Schools,2023-2024
Chosen,P. C. Cast,female,"Cast, Kristin",,,Florida,Seminole County Public Schools,2023-2024
The Perks of Being a Wallflower,Stephen Chbosky,male,,,,Florida,Seminole County Public Schools,2023-2024
Yolk,Mary H.K. Choi,female,,,,Florida,Seminole County Public Schools,2023-2024
Ready Player One,Ernest Cline,male,,,,Florida,Seminole County Public Schools,2023-2024
Flamer,Mike Curato,male,,,,Florida,Seminole County Public Schools,2023-2024
Killing Mr. Griffin,Lois Duncan,female,,,,Florida,Seminole County Public Schools,2023-2024
The Girl Who Fell from the Sky,Heidi W. Durrow,female,,,,Florida,Seminole County Public Schools,2023-2024
Extremely Loud and Incredibly Close,Jonathan Safran Foer,male,,,,Florida,Seminole County Public Schools,2023-2024
The Carnival at Bray,Jessie Ann Foley,female,,,,Florida,Seminole County Public Schools,2023-2024
Anne Frank's Diary: The Graphic Adaptation,Ari Folman,male,"Frank, Anne","Polonsky, David",,Florida,Seminole County Public Schools,2023-2024
America,E.R. Frank,female,,,,Florida,Seminole County Public Schools,2023-2024
Dime,E.R. Frank,female,,,,Florida,Seminole County Public Schools,2023-2024
Life is Funny,E.R. Frank,female,,,,Florida,Seminole County Public Schools,2023-2024
Melissa (George),Alex Gino,genderqueer,,,,Florida,Seminole County Public Schools,2023-2024
Looking for Alaska,John Green,male,,,,Florida,Seminole County Public Schools,2023-2024
"Will Grayson, Will Grayson",John Green,male,"Levithan, David",,,Florida,Seminole County Public Schools,2023-2024
Water for Elephants,Sara Gruen,female,,,,Florida,Seminole County Public Schools,2023-2024
The Freedom Writers Diary,Erin Gruwell,female,The Freedom Writers,,,Florida,Seminole County Public Schools,2023-2024
Homegoing,Yaa Gyasi,female,,,,Florida,Seminole County Public Schools,2023-2024
Friends Forever,Shannon Hale,female,,"Pham, LeUyen",,Florida,Seminole County Public Schools,2023-2024
Dead Until Dark,Charlaine Harris,female,,,,Florida,Seminole County Public Schools,2023-2024
Burned (EH),Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Collateral,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Crank,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Fallout,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Flirtin' With the Monster: Your Favorite Authors on Ellen Hopkins' Crank and Glass,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Glass,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Identical,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Impulse,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
People Kill People,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Perfect (EH),Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Rumble,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Smoke,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
The You I've Never Known,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Tilt (EH),Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Traffick,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
Triangles,Ellen Hopkins,female,,,,Florida,Seminole County Public Schools,2023-2024
I Never,Laura Hopper,female,,,,Florida,Seminole County Public Schools,2023-2024
The Kite Runner,Khaled Hosseini,male,,,,Florida,Seminole County Public Schools,2023-2024
We Are the Ants,Shaun David Hutchinson,male,,,,Florida,Seminole County Public Schools,2023-2024
Allegedly,Tiffany D. Jackson,female,,,,Florida,Seminole County Public Schools,2023-2024
Grown,Tiffany D. Jackson,female,,,,Florida,Seminole County Public Schools,2023-2024
Being Jazz: My Life as a (Transgender) Teen,Jazz Jennings,trans woman,,,,Florida,Seminole County Public Schools,2023-2024
Almost Perfect,"Katcher, Brian",,,,,Florida,Seminole County Public Schools,2023-2024
Milk and Honey,Rupi Kaur,female,,,,Florida,Seminole County Public Schools,2023-2024
Flowers for Algernon,"Keyes, Daniel",,,,,Florida,Seminole County Public Schools,2023-2024
Ask the Passengers,A. S. King,female,,,,Florida,Seminole County Public Schools,2023-2024
Relish: My Life in the Kitchen,Lucy Knisley,female,,,,Florida,Seminole County Public Schools,2023-2024
Lessons from a Dead Girl,"Knowles, Jo",,,,,Florida,Seminole County Public Schools,2023-2024
Boy Girl Boy,Ron Koertge,male,,,,Florida,Seminole County Public Schools,2023-2024
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Florida,Seminole County Public Schools,2023-2024
The Purim Superhero,"Kushner, Elisabeth",,,"Byrne, Mike",,Florida,Seminole County Public Schools,2023-2024
Autoboyography,"Lauren, Christina",,,,,Florida,Seminole County Public Schools,2023-2024
The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,female,,,,Florida,Seminole County Public Schools,2023-2024
Furyborn,Claire Legrand,female,,,,Florida,Seminole County Public Schools,2023-2024
Two Boys Kissing,David Levithan,male,,,,Florida,Seminole County Public Schools,2023-2024
Last Night at the Telegraph Club,Malinda Lo,female,,,,Florida,Seminole County Public Schools,2023-2024
Fly on the Wall: How One Girl Saw Everything,E. Lockhart,female,,,,Florida,Seminole County Public Schools,2023-2024
When Aidan Became a Brother,Kyle Lukoff,trans man,,"Juanita, Kaylani",,Florida,Seminole County Public Schools,2023-2024
Boy Toy,Barry Lyga,male,,,,Florida,Seminole County Public Schools,2023-2024
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
A Court of Mist and Fury,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
A Court of Silver Flames,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
Catwoman: Soulstealer,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
Crown of Midnight,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
Empire of Storms,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
Heir of Fire,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
House of Earth and Blood,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
Kingdom of Ash,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
Queen of Shadows,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
Throne of Glass,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
Tower of Dawn,Sarah J. Maas,female,,,,Florida,Seminole County Public Schools,2023-2024
Both Can Be True,"Machias, Jules",,,,,Florida,Seminole County Public Schools,2023-2024
Unravel Me,Tahereh Mafi,female,,,,Florida,Seminole County Public Schools,2023-2024
"A Game of Thrones: The Graphic Novel, Vol. 1",George R. R. Martin,male,"Abraham, Daniel","Patterson, Tommy",,Florida,Seminole County Public Schools,2023-2024
"A Game of Thrones: The Graphic Novel, Vol. 2",George R. R. Martin,male,"Abraham, Daniel","Patterson, Tommy",,Florida,Seminole County Public Schools,2023-2024
"A Game of Thrones: The Graphic Novel, Vol. 3",George R. R. Martin,male,"Abraham, Daniel","Patterson, Tommy",,Florida,Seminole County Public Schools,2023-2024
"A Game of Thrones: The Graphic Novel, Vol. 4",George R. R. Martin,male,"Abraham, Daniel","Patterson, Tommy",,Florida,Seminole County Public Schools,2023-2024
Kaffir Boy: An Autobiography - The True Story of a Black Youth's Coming of Age in Apartheid South Africa,Mark Mathabane,male,,,,Florida,Seminole County Public Schools,2023-2024
The Truth About Alice: A Novel,Jennifer Mathieu,female,,,,Florida,Seminole County Public Schools,2023-2024
"Assassination Classroom, Vol. 1",Yūsei Matsui,male,,,,Florida,Seminole County Public Schools,2023-2024
"Assassination Classroom, Vol. 2",Yūsei Matsui,male,,,,Florida,Seminole County Public Schools,2023-2024
"Assassination Classroom, Vol. 3",Yūsei Matsui,male,,,,Florida,Seminole County Public Schools,2023-2024
"Assassination Classroom, Vol. 4",Yūsei Matsui,male,,,,Florida,Seminole County Public Schools,2023-2024
"Assassination Classroom, Vol. 5",Yūsei Matsui,male,,,,Florida,Seminole County Public Schools,2023-2024
"Assassination Classroom, Vol. 6",Yūsei Matsui,male,,,,Florida,Seminole County Public Schools,2023-2024
"Assassination Classroom, Vol. 7",Yūsei Matsui,male,,,,Florida,Seminole County Public Schools,2023-2024
Sloppy Firsts,Megan McCafferty,female,,,,Florida,Seminole County Public Schools,2023-2024
The Female of the Species,Mindy McGinnis,female,,,,Florida,Seminole County Public Schools,2023-2024
Fade,Lisa McMann,female,,,,Florida,Seminole County Public Schools,2023-2024
"Red, White, and Royal Blue",Casey McQuiston,non-binary,,,,Florida,Seminole County Public Schools,2023-2024
Vampire Academy,Richelle Mead,female,,,,Florida,Seminole County Public Schools,2023-2024
Everywhere Babies,"Meyers, Susan",,,"Frazee, Marla",,Florida,Seminole County Public Schools,2023-2024
The Sea of Tranquility,Katja Millay,female,,,,Florida,Seminole County Public Schools,2023-2024
All the Things We Do in the Dark,Saundra Mitchell,female,,,,Florida,Seminole County Public Schools,2023-2024
Watchmen,"Moore, Alan",,,"Gibbons, Dave",,Florida,Seminole County Public Schools,2023-2024
Beloved,Toni Morrison,female,,,,Florida,Seminole County Public Schools,2023-2024
Ramona Blue,Julie Murphy,female,,,,Florida,Seminole County Public Schools,2023-2024
Exit Here.,"Myers, Jason",,,,,Florida,Seminole County Public Schools,2023-2024
Kissing Kate,Lauren Myracle,female,,,,Florida,Seminole County Public Schools,2023-2024
"L8r, g8r",Lauren Myracle,female,,,,Florida,Seminole County Public Schools,2023-2024
Rhymes with Witches,Lauren Myracle,female,,,,Florida,Seminole County Public Schools,2023-2024
Shine,Lauren Myracle,female,,,,Florida,Seminole County Public Schools,2023-2024
The Infinite Moment of Us,Lauren Myracle,female,,,,Florida,Seminole County Public Schools,2023-2024
Ttfn,Lauren Myracle,female,,,,Florida,Seminole County Public Schools,2023-2024
yolo,Lauren Myracle,female,,,,Florida,Seminole County Public Schools,2023-2024
Alice on the Outside,Phyllis Reynolds Naylor,female,,,,Florida,Seminole County Public Schools,2023-2024
Like a Love Story,Abdi Nazemian,male,,,,Florida,Seminole County Public Schools,2023-2024
I'll Give You The Sun,Jandy Nelson,female,,,,Florida,Seminole County Public Schools,2023-2024
The Sky Is Everywhere,Jandy Nelson,female,,,,Florida,Seminole County Public Schools,2023-2024
All the Bright Places,Jennifer Niven,female,,,,Florida,Seminole County Public Schools,2023-2024
Breathless (JN),Jennifer Niven,female,,,,Florida,Seminole County Public Schools,2023-2024
Neanderthal Opens the Door to the Universe,"Norton, Preston",,,,,Florida,Seminole County Public Schools,2023-2024
Where I End and You Begin,"Norton, Preston",,,,,Florida,Seminole County Public Schools,2023-2024
Asking for It,Louise O'Neill,female,,,,Florida,Seminole County Public Schools,2023-2024
Where the Crawdads Sing,Delia Owens,female,,,,Florida,Seminole County Public Schools,2023-2024
Choke (CP),Chuck Palahniuk,male,,,,Florida,Seminole County Public Schools,2023-2024
Fight Club,Chuck Palahniuk,male,,,,Florida,Seminole County Public Schools,2023-2024
Handle with Care,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
Leaving Time,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
Lone Wolf,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
Mercy,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
My Sister's Keeper,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
Perfect Match,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
Salem Falls,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
Second Glance,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
Sing You Home,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
The Pact: A Love Story,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
The Storyteller,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
The Tenth Circle,Jodi Picoult,female,,,,Florida,Seminole County Public Schools,2023-2024
33 Snowfish,Adam Rapp,male,,"Ering, Timothy Basil",,Florida,Seminole County Public Schools,2023-2024
Punkzilla,Adam Rapp,male,,,,Florida,Seminole County Public Schools,2023-2024
Beautiful,Amy Reed,female,,,,Florida,Seminole County Public Schools,2023-2024
The Nowhere Girls,Amy Reed,female,,,,Florida,Seminole County Public Schools,2023-2024
"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,female,,,,Florida,Seminole County Public Schools,2023-2024
Ghost Boys,"Rhodes, Jewel Parker",,,,,Florida,Seminole County Public Schools,2023-2024
Juliet Takes a Breath,Gabby Rivera,female,,,,Florida,Seminole County Public Schools,2023-2024
Remember When,Nora Roberts,female,,,,Florida,Seminole County Public Schools,2023-2024
Normal People,Sally Rooney,female,,,,Florida,Seminole County Public Schools,2023-2024
Eleanor and Park,Rainbow Rowell,female,,,,Florida,Seminole County Public Schools,2023-2024
Fangirl,Rainbow Rowell,female,,,,Florida,Seminole County Public Schools,2023-2024
The God of Small Things,"Roy, Arundhati",,,,,Florida,Seminole County Public Schools,2023-2024
The Midnight Lie,Marie Rutkoski,female,,,,Florida,Seminole County Public Schools,2023-2024
Rainbow Boys,"Sanchez, Alex",,,,,Florida,Seminole County Public Schools,2023-2024
Push,Sapphire,,,,,Florida,Seminole County Public Schools,2023-2024
The Invisible Life of Addie LaRue,V. E. Schwab,female,,,,Florida,Seminole County Public Schools,2023-2024
Living Dead Girl,Elizabeth Scott,female,,,,Florida,Seminole County Public Schools,2023-2024
Tweak: Growing Up on Methamphetamines,Nic Sheff,male,,,,Florida,Seminole County Public Schools,2023-2024
History Is All You Left Me,Adam Silvera,male,,,,Florida,Seminole County Public Schools,2023-2024
More Happy Than Not,Adam Silvera,male,,,,Florida,Seminole County Public Schools,2023-2024
Home After Dark,"Small, David",,,,,Florida,Seminole County Public Schools,2023-2024
Stitches: A Memior,"Small, David",,,,,Florida,Seminole County Public Schools,2023-2024
Grasshopper Jungle,"Smith, Andrew",,,,,Florida,Seminole County Public Schools,2023-2024
What My Mother Doesn't Know,"Sones, Sonya",,,,,Florida,Seminole County Public Schools,2023-2024
Go Ask Alice,Beatrice Sparks,female,Anonymous,,,Florida,Seminole County Public Schools,2023-2024
Fine Things,Danielle Steel,female,,,,Florida,Seminole County Public Schools,2023-2024
The Art of Racing in the Rain,Garth Stein,male,,,,Florida,Seminole County Public Schools,2023-2024
A Bad Boy Can Be Good for a Girl,Tanya Lee Stone,female,,,,Florida,Seminole County Public Schools,2023-2024
The Dragonet Prophecy,Tui Sutherland,female,,,,Florida,Seminole County Public Schools,2023-2024
The Lost Heir,Tui Sutherland,female,,,,Florida,Seminole County Public Schools,2023-2024
This One Summer,Mariko Tamaki,female,,"Tamaki, Jillian",,Florida,Seminole County Public Schools,2023-2024
Drama: A Graphic Novel,Raina Telgemeier,female,,,,Florida,Seminole County Public Schools,2023-2024
Concrete Rose,Angie Thomas,female,,,,Florida,Seminole County Public Schools,2023-2024
The Hate U Give,Angie Thomas,female,,,,Florida,Seminole County Public Schools,2023-2024
Blankets,"Thompson, Craig",,,,,Florida,Seminole County Public Schools,2023-2024
Spinning,Tillie Walden,female,,,,Florida,Seminole County Public Schools,2023-2024
Red at the Bone,Jacqueline Woodson,female,,,,Florida,Seminole County Public Schools,2023-2024
Half of a Yellow Sun,Chimamanda Ngozi Adichie,female,,,,Florida,St. John's County School District,2023-2024
A Picture Book of Anne Frank,"Adler, David A.",,,"Ritz, Karen",,Florida,St. John's County School District,2023-2024
Keeper,Kathi Appelt,female,,"Hall, August",,Florida,St. John's County School District,2023-2024
Storm and Fury,Jennifer Armentrout,female,,,,Florida,St. John's County School District,2023-2024
Wonder Woman: Warbringer,Leigh Bardugo,female,,,,Florida,St. John's County School District,2023-2024
The Thing About Jellyfish,Ali Benjamin,female,,,,Florida,St. John's County School District,2023-2024
Coldest Girl in Coldtown,"Black, Holly",,,,,Florida,St. John's County School District,2023-2024
Portraits of African-American Heroes,Tonya Bolden,female,,"Picairin, Ansel",,Florida,St. John's County School District,2023-2024
Through My Eyes,"Bridges, Ruby",,,,,Florida,St. John's County School District,2023-2024
Different Can Be Great: All Kinds of Families,"Bullard, Lisa",,,"Kurilla, Renée",,Florida,St. John's County School District,2023-2024
Zenobia July,Lisa Bunker,trans woman,,,,Florida,St. John's County School District,2023-2024
King and the Dragonflies,Kacen Callender,demiboy,,,,Florida,St. John's County School District,2023-2024
,,trans man,,,,,,
Ender's Game,Orson Scott Card,male,,,,Florida,St. John's County School District,2023-2024
Ready Player One,Ernest Cline,male,,,,Florida,St. John's County School District,2023-2024
The Only Black Girls in Town,Brandy Colbert,female,,,,Florida,St. John's County School District,2023-2024
A Home for Goddesses and Dogs,"Connor, Leslie",,,,,Florida,St. John's County School District,2023-2024
The Watsons Go to Birmingham – 1963,Christopher Paul Curtis,male,,,,Florida,St. John's County School District,2023-2024
The Witches (Graphic Novel Verson),"Dahl, Roal",,,,,Florida,St. John's County School District,2023-2024
Mr. Watson's Chickens,"Dapier, Jarrett",,,"Tsurumi, Andrea",,Florida,St. John's County School District,2023-2024
Sharice's Big Voice: A Native Kid Becomes a Congresswoman,Sharice Davids,female,"Mays, Nancy K.","Pawis-Steckley, Joshua Mangeshig",,Florida,St. John's County School District,2023-2024
Into the River,Ted Dawe,,,,,Florida,St. John's County School District,2023-2024
Just Listen,Sarah Dessen,female,,,,Florida,St. John's County School District,2023-2024
Blended,Sharon Draper,female,,,,Florida,St. John's County School District,2023-2024
Copper Sun,Sharon Draper,female,,,,Florida,St. John's County School District,2023-2024
A Stolen Life,Jaycee Lee Dugard,female,,,,Florida,St. John's County School District,2023-2024
The Incredible Magic of Being,Kathryn Erskine,female,,,,Florida,St. John's County School District,2023-2024
Dark Life,Kat Falls,female,,,,Florida,St. John's County School District,2023-2024
Rip Tide,Kat Falls,female,,,,Florida,St. John's County School District,2023-2024
Who Was Thomas Jefferson?,"Fradin, Dennis Brindell",,,"O'Brien, John",,Florida,St. John's County School District,2023-2024
Dime,E.R. Frank,female,,,,Florida,St. John's County School District,2023-2024
Molly's Family,Nancy Garden,female,,"Wooding, Sharon",,Florida,St. John's County School District,2023-2024
The Remarkable Journey of Coyote Sunrise,Dan Gemeinhart,male,,,,Florida,St. John's County School District,2023-2024
As the Crow Flies,Melanie Gillman,non-binary,,,,Florida,St. John's County School District,2023-2024
Melissa (George),Alex Gino,genderqueer,,,,Florida,St. John's County School District,2023-2024
"Guinness Book of World Records, 2023",Craig Glenday,male,,,,Florida,St. John's County School District,2023-2024
Allies,Alan Gratz,male,,,,Florida,St. John's County School District,2023-2024
Projekt 1065: A Novel of World War II,Alan Gratz,male,,,,Florida,St. John's County School District,2023-2024
The Fault in Our Stars,John Green,male,,,,Florida,St. John's County School District,2023-2024
The Love Hypothesis,Ali Hazelwood,female,,,,Florida,St. John's County School District,2023-2024
The Rules,Nancy Holder,female,"Viguie, Debbie",,,Florida,St. John's County School District,2023-2024
Summer Spirit,Elizabeth Holleville,female,,,,Florida,St. John's County School District,2023-2024
Monday's Not Coming,Tiffany D. Jackson,female,,,,Florida,St. John's County School District,2023-2024
A Song Only I Can Hear,Barry Jonsberg,male,,,,Florida,St. John's County School District,2023-2024
When You Trap a Tiger,Tae Keller,female,,,,Florida,St. John's County School District,2023-2024
Who Is Dolly Parton?,"Kelley, True",,,"Marchesi, Stephen",,Florida,St. John's County School District,2023-2024
The Secret Life of Bees,Sue Monk Kidd,female,,,,Florida,St. John's County School District,2023-2024
"No Choirboy: Murder, Violence, and Teenagers on Death Row",Susan Kuklin,female,,,,Florida,St. John's County School District,2023-2024
"Families, Families, Families!","Lang, Suzanne",,"Lang, Max",,,Florida,St. John's County School District,2023-2024
All Summer Long,Hope Larson,female,,,,Florida,St. John's County School District,2023-2024
